"experiment","subject","condition","conditionC","totalTrialNum","totalTrialNumC","blockNum","categoryLoc","imageName","imageType","isRight","RT","totalTimeMinutes","Age","Gender","L1English"
"1A","p270949","low",-0.5,1,-11.5,1,"left","low_B_110.png","1ColorDiff",0,4486,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,2,-10.5,1,"right","low_A_000.png","prototype",1,1366,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,3,-9.5,1,"right","low_A_010.png","1ColorDiff",0,1388,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,4,-8.5,1,"left","low_B_101.png","1ColorDiff",1,2794,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,5,-7.5,1,"left","low_B_111.png","prototype",1,1704,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,6,-6.5,1,"right","low_A_001.png","1ColorDiff",1,1636,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,7,-5.5,1,"left","low_B_111.png","prototype",1,1761,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,8,-4.5,1,"right","low_A_000.png","prototype",1,1219,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,9,-3.5,2,"left","low_B_111.png","prototype",1,2430,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,10,-2.5,2,"left","low_B_101.png","1ColorDiff",1,1512,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,11,-1.5,2,"left","low_B_110.png","1ColorDiff",1,1366,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,12,-0.5,2,"right","low_A_010.png","1ColorDiff",1,1108,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,13,0.5,2,"right","low_A_000.png","prototype",1,1232,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,14,1.5,2,"left","low_B_111.png","prototype",1,1185,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,15,2.5,2,"right","low_A_001.png","1ColorDiff",1,1367,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,16,3.5,2,"right","low_A_000.png","prototype",1,1017,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,17,4.5,3,"left","low_B_110.png","1ColorDiff",1,1504,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,18,5.5,3,"left","low_B_111.png","prototype",1,1266,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,19,6.5,3,"right","low_A_010.png","1ColorDiff",1,2086,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,20,7.5,3,"right","low_A_000.png","prototype",1,2085,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,21,8.5,3,"right","low_A_001.png","1ColorDiff",1,2897,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,22,9.5,3,"left","low_B_111.png","prototype",1,1377,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,23,10.5,3,"right","low_A_000.png","prototype",1,1310,3.67796666666667,30,"Female","English"
"1A","p270949","low",-0.5,24,11.5,3,"left","low_B_101.png","1ColorDiff",1,1547,3.67796666666667,30,"Female","English"
"1A","p157080","low",-0.5,1,-11.5,1,"left","low_B_111.png","prototype",1,3504,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,2,-10.5,1,"right","low_A_001.png","1ColorDiff",1,1998,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,3,-9.5,1,"right","low_A_010.png","1ColorDiff",0,2683,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,4,-8.5,1,"left","low_B_111.png","prototype",1,1929,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,5,-7.5,1,"left","low_B_101.png","1ColorDiff",0,1427,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,6,-6.5,1,"right","low_A_000.png","prototype",0,1312,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,7,-5.5,1,"left","low_B_110.png","1ColorDiff",1,1385,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,8,-4.5,1,"right","low_A_000.png","prototype",1,1462,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,9,-3.5,2,"left","low_B_101.png","1ColorDiff",0,1844,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,10,-2.5,2,"left","low_B_111.png","prototype",1,1479,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,11,-1.5,2,"left","low_B_110.png","1ColorDiff",1,1528,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,12,-0.5,2,"left","low_B_111.png","prototype",1,1521,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,13,0.5,2,"right","low_A_000.png","prototype",1,1323,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,14,1.5,2,"right","low_A_010.png","1ColorDiff",0,1529,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,15,2.5,2,"right","low_A_000.png","prototype",1,1441,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,16,3.5,2,"right","low_A_001.png","1ColorDiff",1,1241,3.5636,52,"Female","English"
"1A","p157080","low",-0.5,17,4.5,3,"left","low_B_101.png","1ColorDiff",0,30567,3.5636,52,"Female","English"
