"isSame","nameability","shapePair","shape1","shape2","N","average_rt","sd","se","ci","low_ci","high_ci","exp3A","exp3B"
"false","high","pt24.01_high,pt24.02_high","pt24.01_high","pt24.02_high",16,654.201165632344,56.817418078255,14.2043545195637,30.2758649856941,623.925300646649,684.477030618038,"yes","yes"
"false","high","pt24.01_high,pt24.03_high","pt24.01_high","pt24.03_high",16,622.139727825902,43.0105129641874,10.7526282410469,22.9186845779525,599.22104324795,645.058412403855,"yes","no"
"false","high","pt24.01_high,pt24.04_high","pt24.01_high","pt24.04_high",16,607.24220948175,59.7288777555109,14.9322194388777,31.8272723371948,575.414937144555,639.069481818945,"yes","no"
"false","high","pt24.01_high,pt24.05_high","pt24.01_high","pt24.05_high",16,619.054257298525,49.7210265001438,12.4302566250359,26.4944648346243,592.559792463901,645.548722133149,"yes","no"
"false","high","pt24.01_high,pt24.06_high","pt24.01_high","pt24.06_high",16,621.843980980964,43.9804372082949,10.9951093020737,23.4355207252851,598.408460255679,645.279501706249,"yes","yes"
"false","high","pt24.01_high,pt24.07_high","pt24.01_high","pt24.07_high",17,630.120737501899,56.0724554265602,13.5995680242027,28.8297963216272,601.290941180272,658.950533823526,"no","yes"
"false","high","pt24.01_high,pt24.08_high","pt24.01_high","pt24.08_high",17,583.305010668193,44.8480380238287,10.8772469337625,23.0587334158213,560.246277252372,606.363744084015,"no","no"
"false","high","pt24.02_high,pt24.03_high","pt24.02_high","pt24.03_high",16,624.835928083858,43.4445743346903,10.8611435836726,23.1499795556784,601.68594852818,647.985907639537,"yes","no"
"false","high","pt24.02_high,pt24.04_high","pt24.02_high","pt24.04_high",16,622.285475379717,45.7286893142371,11.4321723285593,24.3670985144687,597.918376865249,646.652573894186,"yes","no"
"false","high","pt24.02_high,pt24.05_high","pt24.02_high","pt24.05_high",16,644.070862263883,49.7430925755659,12.4357731438915,26.506223016232,617.564639247651,670.577085280115,"yes","no"
"false","high","pt24.02_high,pt24.06_high","pt24.02_high","pt24.06_high",16,622.172198845423,56.6753641173783,14.1688410293446,30.2001697731052,591.972029072318,652.372368618528,"yes","yes"
"false","high","pt24.02_high,pt24.07_high","pt24.02_high","pt24.07_high",17,680.955751128048,49.47221281312,11.9987740565606,25.4362647066612,655.519486421387,706.392015834709,"no","yes"
"false","high","pt24.02_high,pt24.08_high","pt24.02_high","pt24.08_high",17,622.242237531279,47.3627564493087,11.4871557388767,24.3516823238245,597.890555207454,646.593919855103,"no","no"
"false","high","pt24.03_high,pt24.04_high","pt24.03_high","pt24.04_high",16,623.30813880105,88.6574071085596,22.1643517771399,47.2421975230118,576.065941278038,670.550336324062,"yes","no"
"false","high","pt24.03_high,pt24.05_high","pt24.03_high","pt24.05_high",16,660.847698351498,70.1299564873473,17.5324891218368,37.3696159712708,623.478082380227,698.217314322769,"yes","no"
"false","high","pt24.03_high,pt24.06_high","pt24.03_high","pt24.06_high",16,615.301551172826,51.981392672067,12.9953481680168,27.6989289471104,587.602622225715,643.000480119936,"yes","no"
"false","high","pt24.03_high,pt24.07_high","pt24.03_high","pt24.07_high",17,637.789829136503,39.5796697023453,9.59947992998992,20.3499883733537,617.43984076315,658.139817509857,"no","no"
"false","high","pt24.03_high,pt24.08_high","pt24.03_high","pt24.08_high",17,617.387662577119,85.0709623668074,20.632739030076,43.7394528073073,573.648209769812,661.127115384427,"no","no"
"false","high","pt24.04_high,pt24.05_high","pt24.04_high","pt24.05_high",16,666.070805165902,37.0641811289165,9.26604528222914,19.7501080059436,646.320697159958,685.820913171845,"yes","no"
"false","high","pt24.04_high,pt24.06_high","pt24.04_high","pt24.06_high",16,595.148539764072,83.625750598055,20.9064376495137,44.5610170273298,550.587522736743,639.709556791402,"yes","no"
